Age Group,Light Condition Desc,ACCIDENT_NO
26-29,Dark Street lights on,32005042674
26-29,Dark Street lights on,42005018295
26-29,Dusk/Dawn,52005024654
26-29,Day,32005016255
26-29,Dark No street lights,42005023448
26-29,Dusk/Dawn,52005031623
26-29,Day,52005042592
26-29,Dusk/Dawn,52005021934
26-29,Dark Street lights on,42005008590
26-29,Dusk/Dawn,42005028683
26-29,Dark Street lights on,32005024256
64-69,Day,32005024063
70+,Day,42005003913
70+,Day,52005016894
70+,Day,32005032229
70+,Dark Street lights on,52005006862
70+,Dusk/Dawn,52005010951
70+,Dark Street lights on,42005025651
70+,Day,42005010539
70+,Day,52005030865
70+,Day,42005030174
70+,Day,42005024623
70+,Day,32005039809
70+,Day,52005005394
unknown,Dusk/Dawn,32005024526
unknown,Dark Street lights unknown,52005033873
unknown,Day,42005004759
unknown,Dark Street lights on,42005018966
unknown,Day,52005020670
22-25,Dusk/Dawn,42005025845
30-39,Day,42005028691
40-49,Day,32005002129
50-59,Dark Street lights on,42005022285
50-59,Dark Street lights on,42005033237
50-59,Day,32005036105
60-64,Day,32005037124
64-69,Dusk/Dawn,32005020564
unknown,Day,52005009244
26-29,Dusk/Dawn,42005023800
26-29,Dusk/Dawn,42005030615
13-15,Day,32005009029
13-15,Day,52005027821
16-17,Day,32005019773
16-17,Day,32005019773
16-17,Dark Street lights on,52005021142
16-17,Dark Street lights on,52005032914
16-17,Day,52005002307
17-21,Dark Street lights on,42005018295
17-21,Day,52005004789
17-21,Dark Street lights on,52005016859
22-25,Dark Street lights on,52005042533
22-25,Day,52005004946
30-39,Dark Street lights on,32005015736
30-39,Day,52005023941
30-39,Day,32005001930
40-49,Dark No street lights,32005003854
40-49,Dark Street lights on,52005001811
5-12,Day,52005013670
22-25,Dark Street lights on,22005013966
30-39,Dark Street lights on,12005012209
30-39,Dark Street lights on,12005003853
30-39,Dark Street lights on,22005023378
30-39,Dark Street lights on,12005042744
40-49,Day,22005043362
40-49,Day,12005030280
40-49,Dark Street lights on,22005036915
40-49,Day,12005041671
17-21,Dark Street lights on,22005024700
22-25,Dark No street lights,22005042151
26-29,Dark Street lights on,22005013542
26-29,Dark Street lights on,22005015772
26-29,Day,12005028983
30-39,Dusk/Dawn,22005005958
30-39,Dusk/Dawn,22005009492
40-49,Dusk/Dawn,22005016777
40-49,Day,12005042752
40-49,Day,22005031862
70+,Day,22005025400
13-15,Dark Street lights on,22005016495
30-39,Day,12005009268
40-49,Day,12005030008
50-59,Day,22005018418
30-39,Day,12005004211
40-49,Day,12005029313
22-25,Day,22005038059
22-25,Day,12005029000
22-25,Day,22005012803
22-25,Dark Street lights on,12005030024
22-25,Day,12005027690
22-25,Dusk/Dawn,22005019062
26-29,Day,22005040296
26-29,Day,22005010042
26-29,Dusk/Dawn,22005019062
26-29,Day,12005027850
26-29,Day,12005028581
26-29,Dusk/Dawn,12005033431
26-29,Day,12005024090
30-39,Dark Street lights on,12005008388
30-39,Day,22005011629
30-39,Unknown,22005043057
30-39,Day,22005031089
30-39,Day,22005034878
30-39,Day,22005015524
30-39,Day,12005019208
30-39,Day,12005012961
30-39,Day,12005010656
30-39,Day,12005038985
30-39,Day,12005031061
30-39,Dusk/Dawn,22005027313
30-39,Day,12005002753
30-39,Day,12005007463
30-39,Day,12005043088
16-17,Dark Street lights on,52005005902
17-21,Day,42005017839
17-21,Dark Street lights on,32005010863
17-21,Day,42005010544
17-21,Dark No street lights,32005017379
17-21,Day,52005016474
17-21,Dark Street lights on,42005012489
17-21,Day,42005006072
17-21,Day,42005015996
17-21,Dark No street lights,52005014649
17-21,Dark No street lights,42005017370
17-21,Dark Street lights on,42005017420
17-21,Dark Street lights unknown,52005020591
17-21,Dark No street lights,52005018855
22-25,Day,42005003916
22-25,Dark Street lights on,52005003021
22-25,Dusk/Dawn,32005002058
22-25,Dark Street lights on,52005006133
22-25,Dusk/Dawn,52005015323
22-25,Dusk/Dawn,32005013759
22-25,Dark Street lights on,42005014083
22-25,Day,52005013847
22-25,Day,42005005818
22-25,Dark No street lights,32005013808
22-25,Day,42005009583
26-29,Dusk/Dawn,42005010759
26-29,Dusk/Dawn,42005013630
26-29,Dark No street lights,42005016286
26-29,Dusk/Dawn,32005013071
26-29,Dark Street lights on,52005015321
26-29,Dusk/Dawn,42005018116
26-29,Dark Street lights on,32005019752
26-29,Dusk/Dawn,42005010392
26-29,Day,32005004359
26-29,Dusk/Dawn,52005014687
30-39,Dark Street lights on,32005020187
30-39,Dark Street lights on,42005011334
30-39,Day,52005013489
30-39,Dark No street lights,52005004826
30-39,Dark No street lights,52005018180
30-39,Dark No street lights,52005018515
30-39,Day,32005013070
30-39,Dusk/Dawn,42005021298
30-39,Day,52005021145
30-39,Day,52005018208
30-39,Dark Street lights on,42005011938
30-39,Dark Street lights on,42005015604
30-39,Dark No street lights,52005017865
30-39,Dusk/Dawn,42005014023
40-49,Dusk/Dawn,42005004371
40-49,Day,32005003641
40-49,Dark Street lights on,42005016413
40-49,Day,42005019345
40-49,Dusk/Dawn,52005011317
40-49,Day,52005019393
40-49,Day,32005009917
40-49,Dusk/Dawn,32005018637
40-49,Day,42005013327
50-59,Day,52005015130
50-59,Day,52005020524
50-59,Dusk/Dawn,32005011254
50-59,Day,42005013510
50-59,Dark No street lights,42005016673
50-59,Dusk/Dawn,52005009591
50-59,Dark Street lights on,52005020659
50-59,Dark No street lights,52005020414
60-64,Day,32005006009
60-64,Dusk/Dawn,42005012309
60-64,Day,42005016675
60-64,Day,52005020248
64-69,Dusk/Dawn,32005013790
64-69,Day,42005012121
70+,Dusk/Dawn,42005013703
70+,Day,42005012216
70+,Day,42005012279
70+,Day,52005009593
70+,Day,52005014646
70+,Day,32005016142
70+,Day,42005015079
70+,Day,52005012474
70+,Dark No street lights,52005014699
22-25,Day,42005015461
22-25,Dark Street lights on,32005005453
22-25,Day,42005021857
40-49,Dark Street lights on,32005002009
40-49,Day,52005015057
30-39,Day,52005018026
17-21,Dark Street lights on,42005011112
17-21,Dusk/Dawn,32005005968
17-21,Day,52005018547
17-21,Dusk/Dawn,32005020599
22-25,Dusk/Dawn,42005019496
22-25,Dusk/Dawn,32005004320
22-25,Day,32005009917
26-29,Day,42005004803
26-29,Day,32005013645
26-29,Day,32005017201
26-29,Day,32005013073
26-29,Dusk/Dawn,42005018462
26-29,Dusk/Dawn,42005019997
26-29,Dark Street lights on,52005010384
26-29,Day,52005015306
26-29,Day,32005004282
30-39,Dusk/Dawn,42005015994
30-39,Dark Street lights on,52005013365
30-39,Day,52005011384
30-39,Dark Street lights on,52005019807
30-39,Day,42005016696
30-39,Dark No street lights,52005014325
30-39,Day,52005003918
30-39,Day,32005017964
30-39,Day,42005019170
30-39,Day,32005012401
30-39,Day,42005019494
30-39,Dusk/Dawn,42005003652
30-39,Day,42005012298
30-39,Day,52005012474
40-49,Day,42005021319
40-49,Day,52005014893
40-49,Dark Street lights on,32005020625
40-49,Dusk/Dawn,32005021031
50-59,Day,52005014842
50-59,Dusk/Dawn,32005006015
50-59,Day,52005010393
50-59,Day,42005009995
50-59,Day,42005005476
50-59,Day,52005018208
50-59,Dusk/Dawn,52005010801
50-59,Dusk/Dawn,32005010375
50-59,Day,52005003764
50-59,Day,52005009746
50-59,Day,42005003916
50-59,Day,52005011982
60-64,Day,52005032472
60-64,Dusk/Dawn,42005020824
70+,Day,42005017975
22-25,Day,32005025079
40-49,Day,52005015349
22-25,Day,42005016675
30-39,Dark Street lights unknown,42005011513
30-39,Day,42005020829
30-39,Day,42005020829
17-21,Dark Street lights on,52005015047
30-39,Dusk/Dawn,52005013802
70+,Dark Street lights on,52005015478
26-29,Dark Street lights on,52005024758
17-21,Dusk/Dawn,52005018530
30-39,Day,32005018654
17-21,Day,32005004293
17-21,Dark Street lights on,52005021155
17-21,Dark No street lights,52005012160
40-49,Day,52005037576
40-49,Day,32005004901
40-49,Dark Street lights on,32005005225
40-49,Dark Street lights on,32005005086
40-49,Day,32005012087
40-49,Day,42005021898
40-49,Day,42005025255
40-49,Dark Street lights on,42005030803
40-49,Dark Street lights on,42005009459
40-49,Day,42005015079
40-49,Day,42005009812
40-49,Day,42005029779
26-29,Day,52005021954
26-29,Dark No street lights,52005039764
26-29,Day,32005006645
26-29,Day,42005008744
26-29,Day,42005026301
26-29,Dark Street lights on,52005007395
26-29,Dark Street lights on,32005023455
30-39,Day,32005038513
30-39,Dusk/Dawn,32005032864
